m49,iso3,name,faostat_code,is_aggregate,in_canonical_194,method
004,AFG,Afghanistan,2,False,True,pycountry_numeric
008,ALB,Albania,3,False,True,pycountry_numeric
012,DZA,Algeria,4,False,True,pycountry_numeric
024,AGO,Angola,7,False,True,pycountry_numeric
028,ATG,Antigua and Barbuda,8,False,True,pycountry_numeric
031,AZE,Azerbaijan,52,False,True,pycountry_numeric
032,ARG,Argentina,9,False,True,pycountry_numeric
036,AUS,Australia,10,False,True,pycountry_numeric
040,AUT,Austria,11,False,True,pycountry_numeric
044,BHS,Bahamas,12,False,True,pycountry_numeric
048,BHR,Bahrain,13,False,True,pycountry_numeric
050,BGD,Bangladesh,16,False,True,pycountry_numeric
051,ARM,Armenia,1,False,True,pycountry_numeric
052,BRB,Barbados,14,False,True,pycountry_numeric
056,BEL,Belgium,255,False,True,pycountry_numeric
058,,Belgium-Luxembourg,15,False,False,unmatched
064,BTN,Bhutan,18,False,True,pycountry_numeric
068,BOL,Bolivia (Plurinational State of),19,False,True,pycountry_numeric
070,BIH,Bosnia and Herzegovina,80,False,True,pycountry_numeric
072,BWA,Botswana,20,False,True,pycountry_numeric
074,BVT,Bouvet Island,31,False,False,pycountry_numeric
076,BRA,Brazil,21,False,True,pycountry_numeric
084,BLZ,Belize,23,False,True,pycountry_numeric
090,SLB,Solomon Islands,25,False,True,pycountry_numeric
096,BRN,Brunei Darussalam,26,False,True,pycountry_numeric
100,BGR,Bulgaria,27,False,True,pycountry_numeric
104,MMR,Myanmar,28,False,True,pycountry_numeric
108,BDI,Burundi,29,False,True,pycountry_numeric
112,BLR,Belarus,57,False,True,pycountry_numeric
116,KHM,Cambodia,115,False,True,pycountry_numeric
120,CMR,Cameroon,32,False,True,pycountry_numeric
124,CAN,Canada,33,False,True,pycountry_numeric
128,,Canton and Enderbury Islands,34,False,False,unmatched
132,CPV,Cabo Verde,35,False,True,pycountry_numeric
140,CAF,Central African Republic,37,False,True,pycountry_numeric
144,LKA,Sri Lanka,38,False,True,pycountry_numeric
148,TCD,Chad,39,False,True,pycountry_numeric
152,CHL,Chile,40,False,True,pycountry_numeric
156,CHN,China; mainland,41,False,True,pycountry_numeric
158,TWN,China; Taiwan Province of,214,False,True,pycountry_numeric
170,COL,Colombia,44,False,True,pycountry_numeric
174,COM,Comoros,45,False,True,pycountry_numeric
178,COG,Congo,46,False,True,pycountry_numeric
180,COD,Democratic Republic of the Congo,250,False,True,pycountry_numeric
184,COK,Cook Islands,47,False,False,pycountry_numeric
188,CRI,Costa Rica,48,False,True,pycountry_numeric
191,HRV,Croatia,98,False,True,pycountry_numeric
192,CUB,Cuba,49,False,True,pycountry_numeric
196,CYP,Cyprus,50,False,True,pycountry_numeric
200,,Czechoslovakia,51,False,False,unmatched
203,CZE,Czechia,167,False,True,pycountry_numeric
204,BEN,Benin,53,False,True,pycountry_numeric
208,DNK,Denmark,54,False,True,pycountry_numeric
212,DMA,Dominica,55,False,True,pycountry_numeric
214,DOM,Dominican Republic,56,False,True,pycountry_numeric
218,ECU,Ecuador,58,False,True,pycountry_numeric
222,SLV,El Salvador,60,False,True,pycountry_numeric
226,GNQ,Equatorial Guinea,61,False,True,pycountry_numeric
230,,Ethiopia PDR,62,False,False,unmatched
231,ETH,Ethiopia,238,False,True,pycountry_numeric
232,ERI,Eritrea,178,False,True,pycountry_numeric
233,EST,Estonia,63,False,True,pycountry_numeric
234,FRO,Faroe Islands,64,False,False,pycountry_numeric
239,SGS,South Georgia and the South Sandwich Islands,271,False,False,pycountry_numeric
242,FJI,Fiji,66,False,True,pycountry_numeric
246,FIN,Finland,67,False,True,pycountry_numeric
250,FRA,France,68,False,True,pycountry_numeric
254,GUF,French Guiana,69,False,False,pycountry_numeric
258,PYF,French Polynesia,70,False,False,pycountry_numeric
262,DJI,Djibouti,72,False,True,pycountry_numeric
266,GAB,Gabon,74,False,True,pycountry_numeric
