iso3,date,pathogen,value,month_index,node_id,pathogen_idx
IND,2010-01-01,TR4,1,720,77,5
DEU,1956-01-01,PPV,1,72,44,4
MOZ,2007-01-01,BBTD,1,684,119,0
NGA,2012-01-01,BBTD,1,744,126,0
PRT,2018-01-01,XylellaFastidiosa,1,816,142,7
CAN,2000-01-01,PPV,1,600,29,4
COL,2017-01-01,Clubroot,1,804,37,3
COD,1958-01-01,BBTD,1,96,35,0
LAO,2010-01-01,TR4,1,720,95,5
TZA,2020-01-01,BBTD,1,840,179,0
ESP,1984-01-01,PPV,1,408,53,4
SSD,1985-01-01,Cassava,1,420,158,1
COM,1985-01-01,Cassava,1,420,38,1
BDI,1987-01-01,BBTD,1,444,11,0
ITA,2013-01-01,XylellaFastidiosa,1,756,83,7
MYS,1992-01-01,TR4,1,504,123,5
DOM,2008-01-01,CitrusGreening,1,696,48,2
MOZ,2013-01-01,TR4,1,756,119,5
AGO,2008-01-01,BBTD,1,696,1,0
CRI,1990-01-01,XylellaFastidiosa,1,480,40,7
ARG,1990-01-01,XylellaFastidiosa,1,480,5,7
CHN,1998-01-01,TR4,1,576,32,5
BRA,1985-01-01,WheatBlast,1,420,23,6
PAK,2010-01-01,TR4,1,720,134,5
TGO,2018-01-01,BBTD,1,816,168,0
FRA,2015-01-01,XylellaFastidiosa,1,780,58,7
PRY,1951-01-01,CitrusGreening,1,12,143,2
RWA,1987-01-01,BBTD,1,444,147,0
ZMB,1985-01-01,Cassava,1,420,192,1
UGA,2020-01-01,BBTD,1,840,180,0
IND,2017-01-01,WheatBlast,1,804,77,6
POL,2017-01-01,Clubroot,1,804,140,3
COL,2019-01-01,TR4,1,828,37,5
RUS,1961-01-01,PPV,1,132,146,4
TWN,1967-01-01,TR4,1,204,178,5
USA,1999-01-01,PPV,1,588,183,4
BRA,2004-01-01,CitrusGreening,1,648,23,2
BRA,1987-01-01,XylellaFastidiosa,1,444,23,7
BOL,1996-01-01,WheatBlast,1,552,22,6
CHL,1992-01-01,PPV,1,504,31,4
ZAF,2015-01-01,BBTD,1,780,191,0
VEN,2023-01-01,TR4,1,876,186,5
JOR,2013-01-01,TR4,1,756,85,5
POL,1961-01-01,PPV,1,132,140,4
CAN,2003-01-01,Clubroot,1,636,29,3
MEX,2017-01-01,PPV,1,804,111,4
CMR,2008-01-01,BBTD,1,696,34,0
THA,2018-01-01,Cassava,1,816,169,1
ZMB,2007-01-01,BBTD,1,684,192,0
MEX,1990-01-01,WheatBlast,1,480,111,6
